
City,Edge,HEdge,HEdgeInfinity,Dissimilarity,Gini,Moran's I
Albany-Schenectady-Troy,0.5171147217531123,0.591899675440334,0.003666947901652947,[ 0.59767852],[ 0.74896836],0.5751219535480626
Ann Arbor MI,0.4854721562900888,0.5758970710224415,0.002308526950493252,[ 0.53064432],[ 0.6881272],0.41409356357871163
Athens-Clark County GA,0.42941130972161823,0.5469930221384802,0.0009733713137816107,[ 0.39081542],[ 0.53014936],0.3132379729549166
Austin-Round Rock TX,0.48549675974331147,0.5670409206494397,0.0016460309359676414,[ 0.39174486],[ 0.52974761],0.575981459633698
Bloomington IN,0.4887717210814605,0.5116692876447897,0.004725809824499168,[ 0.51351092],[ 0.65748091],0.1544514077632487
Boston-Cambridge-Newton MA,0.5594693207565106,0.6450165757458981,0.004010859144596776,[ 0.5854408],[ 0.74578199],0.7009638971042974
Boulder CO,0.49372629667246315,0.5005115014009451,0.013256488913628054,[ 0.18235754],[ 0.25842648],0.06299401700974484
Bridgeport-Stamford-Norwalk CT,0.5397658153251673,0.634017362525004,0.0034112532188171197,[ 0.56719905],[ 0.70693122],0.6128242530037518
Burlington-South Burlington VT,0.4923597547247648,0.5060102056005841,0.00820511065654204,[ 0.40597883],[ 0.54645596],0.5881847105553795
Cedar Rapids IA,0.4861536807162403,0.5128494508240732,0.0036938738454953437,[ 0.46440237],[ 0.61185029],0.3653794078307286
Chicago-Naperville-Elgin IL-IN-WI,0.6613402388215892,0.7807191457305742,0.0026773467599812365,[ 0.7234579],[ 0.86647984],0.6771256162393234
Colorado Springs CO,0.4752472881280029,0.5283316567078751,0.0020295307000035845,[ 0.36084277],[ 0.48539671],0.6048901198657185
Des Moines-West Des Moines IA,0.4989541853472392,0.5426110136244234,0.0035394340384303316,[ 0.50052361],[ 0.66416407],0.5662038674851698
Duluth MN-WI,0.49423530644121044,0.5062887738521344,0.009131745320221185,[ 0.50180905],[ 0.63493062],0.16722845156315752
El Paso TX,0.42264234310120097,0.5257681914827366,0.0020462503185858867,[ 0.42850751],[ 0.58954247],0.5179979178364736
Flint MI,0.5685982941792649,0.6901687232676927,0.0026826694493402915,[ 0.69696586],[ 0.86038471],0.594973974125346
Grand Rapids-Wyoming MI,0.5236843096531418,0.5918897582573517,0.003353554725748389,[ 0.61364249],[ 0.76261659],0.6202757270304483
Harrisburg-Carlisle PA,0.53883796567518,0.6237347900207404,0.003330706463009798,[ 0.65528596],[ 0.79330689],0.6982059982945208
Huntingdon PA,0.4831134212270939,0.5153867510230119,0.0030820608486739334,[ 0.70948544],[ 0.80179874],-0.057044645740628765
Iowa city IA,0.4821020834164755,0.51236323964149,0.002714192510382497,[ 0.46552742],[ 0.60874157],0.410233618113332
Ithaca NY,0.4812652136502003,0.5072120486152978,0.005128864975247647,[ 0.34500895],[ 0.48446114],0.2648861973558663
Jacksonville FL,0.4853616892768552,0.6225636707540613,0.00074058116364064,[ 0.49152835],[ 0.66612169],0.5505576033382797
Junction City KS,0.41869092703393745,0.5189915558966259,0.0010384108439325955,[ 0.35500414],[ 0.4755637],0.1980559873055682
Kansas city MO-KS,0.5422248210841979,0.6419233141301802,0.002189045490088698,[ 0.5836461],[ 0.74883542],0.6145556164975716
Lafayette-West Lafayette IN,0.4807990209033672,0.5091556924301688,0.003159852741140114,[ 0.4451736],[ 0.58225321],0.5009670721457508
Lancaster PA,0.5004376494371431,0.5315404548673347,0.004863748114112657,[ 0.48480033],[ 0.6243761],0.400265718517039
Las Vegas-Henderson-Paradise NV,0.4551194116451796,0.5601362896355048,0.001727449352489708,[ 0.29391555],[ 0.41905979],0.5503837620259832
Lincoln NE,0.4845913289019567,0.511934116718977,0.004923906548060296,[ 0.41418517],[ 0.55186607],0.49780840891429695
Los Angeles-Long Beach-Anaheim CA,0.6337959301569003,0.7490200770045101,0.0026858511091213313,[ 0.55528478],[ 0.71231312],0.7551972591181886
Madison WI,0.4901794034007922,0.5287926005375714,0.0035581305519777288,[ 0.51884894],[ 0.65604125],0.48654297982704536
McAllen-Edingburg-Mission TX,0.47953342423828327,0.5147816198661976,0.012784040678585651,[ 0.48584633],[ 0.65277353],0.06273186337640568
Miami-Fort Lauderdale-West Palm Beach FL,0.5571395062102064,0.7118659494203996,0.0015885063884413441,[ 0.59786511],[ 0.77125636],0.6376471542575135
New Haven-Milford CT,0.5333262239887874,0.6359692756617006,0.0026773178682497133,[ 0.56270995],[ 0.71245275],0.6029542016502301
New Orleans-Metairie LA,0.4854953642458094,0.6418267291306494,0.001049810255624714,[ 0.58692861],[ 0.7566034],0.3602515493109008
New York-Newark-Jersey City NY-NJ-PA,0.6591233961319404,0.7793427073086284,0.0031654507183633968,[ 0.64677459],[ 0.80316306],0.6542207009189209
Oklahoma City-OK,0.5027871930978989,0.5927617895025126,0.0023828330062994054,[ 0.50225795],[ 0.67537345],0.4977166310087428
Orlando-Kissimmee-Sanford FL,0.48730937483106074,0.6147246706608955,0.0008859870585629151,[ 0.4535682],[ 0.60212694],0.5880040228791269
Philadelphia-Camden-Wilmington PA-NJ-DE-MD,0.5990043125362452,0.7294595728355797,0.0020600188890871505,[ 0.62459419],[ 0.78874257],0.7033578187879189
Phoenix-Mesa-Scottsdale AZ,0.48566942098041305,0.5381855954116175,0.002965130301359233,[ 0.31997995],[ 0.44698286],0.46275980866745875
Pittsburgh PA,0.5376354623293307,0.6162731768713701,0.004159823344129564,[ 0.65460895],[ 0.80987397],0.5796266771263808
Plattsburgh NY,0.4802410821425552,0.5092200981536799,0.0032614234186835126,[ 0.52358072],[ 0.67763418],-0.01998214979437099
Providence-Warwick RI-MA,0.4998311180620867,0.5437075485588502,0.004539435997589078,[ 0.46749985],[ 0.60737327],0.5768846276024778
Reno NV,0.4850818814394453,0.5079916886152811,0.006086847561505179,[ 0.30124348],[ 0.42905495],0.29920981064820174
Rio Grande City TX,0.4973225807576329,0.5042092172440109,0.34498194213989797,[ 0.62286821],[ 0.78990609],-0.0718324927403332
Riverside-San Bernadino-Ontario CA,0.46506355105186076,0.5664997487676797,0.0015436944558484113,[ 0.34213425],[ 0.46902408],0.5452205173523175
Rochester NY,0.5552800299587566,0.6488620082106535,0.003109598602553731,[ 0.62311501],[ 0.77949824],0.7989001226404362
Salt Lake City UT,0.4935899297663255,0.5074890453479144,0.007717098677599237,[ 0.3249017],[ 0.44199672],0.4468295114519745
San Antonio-New Braunfels TX,0.49666166633062625,0.5964487784730478,0.0021323209184581004,[ 0.43782651],[ 0.59979041],0.6614752905375397
San Diego-Carlsbad CA,0.4948585959113051,0.5607830822166949,0.0013256273303582345,[ 0.39770539],[ 0.53707776],0.43588136927747734
Santa Cruz-Watsonville CA,0.49111756237416654,0.5013253390428979,0.009434304719129481,[ 0.24765977],[ 0.34193639],0.23185314947549981
Santa Fe NM,0.49178647090666416,0.5012532950408586,0.01737310003392975,[ 0.21475203],[ 0.30699578],0.1270024977244602
Savannah GA,0.4263424328686911,0.583885619141072,0.0005385096559220968,[ 0.4501041],[ 0.62164467],0.24302458857690895
Syracuse NY,0.5519372833909828,0.6331445803454232,0.004967588439291052,[ 0.66055728],[ 0.8108685],0.7766537495772492
Tallahassee FL,0.4173964588658513,0.5742747707816533,0.0007070482273885757,[ 0.40593085],[ 0.55998994],0.2674375113291872
Tampa-St Petersburg-Clearwater FL,0.5208359292964853,0.630717267395671,0.0021009995170070644,[ 0.51056245],[ 0.67704928],0.636122583186748
Toledo OH,0.5434918499579736,0.6453261831346453,0.0027141305293618074,[ 0.64829156],[ 0.81503582],0.7375817304689715
Tucson AZ,0.47686762100906166,0.5155803507579858,0.003749722751745469,[ 0.31541227],[ 0.4309204],0.41355216904476516
Tuscaloosa AL,0.44236645705999733,0.5968061794609116,0.000682524302582091,[ 0.51154553],[ 0.66950981],0.2855046969323009
Virginia Beach-Norfolk-Newport News VA-NC,0.4401432691643256,0.5982434429468251,0.0006917594206519149,[ 0.44315882],[ 0.60502847],0.41167236013097924
Youngstown-Warren-Boardman OH-PA,0.5348342128064019,0.6199652481253606,0.0037119420157963145,[ 0.67126821],[ 0.81842207],0.5570569314166919
